Model,MSE,RMSE,MAE,MAPE(%),R2,Binned_Accuracy(%),Acc_±5%,Acc_±10%,Acc_±15%
LinearRegression,1029794972.1302844,32090.418696712022,17114.84111071974,258.3182049038524,-0.02014404370704992,10.0,0.0,0.0,3.3333333333333335
SVR (RBF),1196740764.8051887,34593.941157451096,20938.783165377936,382.3540584268176,-0.18552527067783875,10.0,0.0,0.0,0.0
RandomForest,1248823674.5973287,35338.69939029065,17619.933626414462,313.45886832371616,-0.23712007512077715,10.0,3.3333333333333335,6.666666666666667,6.666666666666667
